0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 9.999526468991669637e-01 1.227182074699908339e-12 2.772544180724462956e-15 5.872047984096549224e-18 1.149936394445074166e-20
1.000000000000000000e+01 9.999003244061884788e-01 1.182183778300368931e-11 4.438215309136066339e-14 1.347667188665325228e-16 3.479923917355825718e-19
1.500000000000000000e+01 9.999406759634525965e-01 2.082804169997736678e-11 3.035213106628168179e-13 1.028857247397818670e-15 1.033117038857361199e-18
2.000000000000000000e+01 9.999971979974796588e-01 1.687258251181174193e-10 8.882071907181972670e-13 1.845241955665545504e-17 1.666859501721733701e-18
2.500000000000000000e+01 9.999644927032157460e-01 4.656952996387328024e-10 2.295836886668633866e-13 1.142809560116863044e-15 1.701341190541543133e-18
3.000000000000000000e+01 9.999033513602590961e-01 6.874386153731533640e-10 6.288862114199389614e-15 1.355137042140167108e-18 7.001130438896826267e-20
3.500000000000000000e+01 9.999293445026592453e-01 7.141778040971751185e-10 1.064780424124491245e-14 2.658648385340448766e-18 5.311577456490140914e-20
4.000000000000000000e+01 9.999942806822875729e-01 7.985594583728750971e-10 1.390733459295586643e-15 5.632546535002566776e-17 1.512204103736075914e-20
4.500000000000000000e+01 9.999752207160484963e-01 8.192864487257629835e-10 7.166186650695161514e-14 7.718952294924343220e-17 4.593550128858042289e-20
5.000000000000000000e+01 9.999085921896121443e-01 8.494403969810285149e-10 1.946880448818152763e-13 5.400368778534747324e-16 1.513029844829013788e-18
5.500000000000000000e+01 9.999189581334196886e-01 9.146909545534669018e-10 3.534643148210540625e-13 7.455646359632687661e-16 4.311629355410494135e-19
6.000000000000000000e+01 9.999862157653141015e-01 1.416166163527873963e-09 7.621161622982090210e-13 1.459741065052934920e-16 1.223690812122938974e-18
6.500000000000000000e+01 9.999849557410950274e-01 2.047758393551967351e-09 1.478384265762461520e-13 1.056049981436552268e-15 2.342859635050699549e-18
7.000000000000000000e+01 9.999169909851690630e-01 2.533166562688857939e-09 2.735273206154528885e-14 4.180854873781672539e-17 3.055489468871159410e-19
7.500000000000000000e+01 9.999106517881708456e-01 2.581530248051250111e-09 3.154409498951064124e-14 3.325720903007688659e-17 9.292290219463877234e-20
8.000000000000000000e+01 9.999784314505832938e-01 2.797879241284287428e-09 1.960462807375504849e-14 1.588944267865444558e-16 1.388525591267124331e-19
8.500000000000000000e+01 9.999918927620689013e-01 2.824896011505135615e-09 2.603951431575830851e-13 3.439258702899895125e-16 3.496742164800546961e-19
9.000000000000000000e+01 9.999262508949823269e-01 2.850871539578656049e-09 4.360024166215493681e-13 1.100895608549928509e-15 2.631256819459161816e-18
9.500000000000000000e+01 9.999043132562499547e-01 2.801607393982728199e-09 3.607146792064541954e-13 4.095937693778813414e-16 2.802882019902276504e-19
1.000000000000000000e+02 9.999667702233790978e-01 3.407414629462682986e-09 5.516909813124134691e-13 3.118549324254215124e-16 4.879117832706284950e-19
1.050000000000000000e+02 9.999973818009844084e-01 4.133685144929542208e-09 7.376259328998562181e-14 8.155283637275943384e-16 2.666654078359401793e-18
