Rabi_meV,Evib_per_molecule_avg
0.15,7.110705588027679e-15
0.16,6.7320730596210304e-15
0.17,6.4931305184730546e-15
0.18,6.484975128326577e-15
0.19,8.660138604676703e-15
0.2,6.928256424737732e-13
0.21,7.156821875854043e-15
0.22,5.382664480121798e-15
0.23,4.812614903978954e-15
0.24,4.515480247908723e-15
0.25,4.284510615498133e-15
