cv,Evib_ground_avg_eV,Evib_excited_avg_eV,Evib_total_avg_eV
0.2,5.7166785177662944e-11,2.249946540888794e-15,5.716453523112205e-11
0.201,5.7428595838291935e-11,3.809933865033747e-14,5.7390496499641605e-11
0.2012,5.766599276864674e-11,2.5865240973686e-13,5.7407340358909876e-11
0.20124,5.780073097617621e-11,3.9601414169606537e-13,5.7404716834480144e-11
0.20126,5.786885505791136e-11,4.641877268431413e-13,5.740466733106822e-11
0.20128,5.7931229764780394e-11,5.244794503797773e-13,5.740675031440061e-11
0.2013,5.798289601313047e-11,5.713539562813964e-13,5.7411542056849064e-11
0.20132,5.801920566932964e-11,6.002787220095095e-13,5.7418926947320145e-11
0.20134,5.8036651450305034e-11,6.083556746343885e-13,5.742829577567065e-11
0.20136,5.803355842585185e-11,5.9476707458405e-13,5.743879135126781e-11
0.20138,5.8009967560544366e-11,5.608912378153353e-13,5.744907632272902e-11
0.2014,5.796823848819891e-11,5.100886015241387e-13,5.7458149886674776e-11
0.2016,5.7548502663499986e-11,5.1744152014407824e-14,5.749675851148559e-11
0.202,5.759288704954302e-11,8.893854615780431e-15,5.758399319492724e-11
0.203,5.776614741438767e-11,1.4843609873985e-15,5.776466305340028e-11
0.204,5.799709313830099e-11,5.805725739977029e-16,5.799651256572699e-11
0.206,5.839914762978658e-11,1.853803281007502e-16,5.839896224945847e-11
0.208,5.884732758109294e-11,9.173063118157357e-17,5.884723585046176e-11
0.21,5.929361179963342e-11,5.379533350797382e-17,5.929355800429991e-11
