intensity_meV,P_g_n1_avg,P_g_n2_avg,P_e_n1_avg,P_e_n2_avg
1.0,1.122020330917879e-22,9.193889996336445e-25,0.0012194083343761873,7.5544539297444245e-06
2.0,3.632542559356298e-22,4.38207465064471e-25,0.001662403199397701,4.20857604210879e-06
3.0,6.478770547623159e-22,9.278757254420557e-26,0.0019541872193372016,3.2032722333646763e-06
4.0,5.622540109908663e-22,5.865673802032988e-26,0.0016749885629569502,2.1191889139446136e-06
5.0,4.004737926642317e-22,5.895694705217756e-26,0.0019835856962364664,2.0468879528664907e-06
6.0,2.599571680370452e-22,7.199515475789047e-26,0.001955748931234991,1.7572568113238516e-06
7.0,1.5758925597253935e-22,9.216660030822684e-26,0.0019395099242410026,1.5656692868501135e-06
8.0,8.900308730495255e-23,1.1611636679396966e-25,0.0021491032217637015,1.5437722878997227e-06
