intensity_meV,P_g_n0_avg,P_g_n1_avg,P_g_n2_avg,P_g_n3_avg,P_e_n0_avg,P_e_n1_avg,P_e_n2_avg,P_e_n3_avg
1.0,0.9999991141300963,7.64367304808446e-15,1.7031372395167204e-17,3.603599215763301e-20,8.510532948046626e-07,3.450758727721028e-08,3.075483120448896e-10,1.4644885560622903e-12
2.0,0.9999964565305354,1.2229892473013667e-13,2.725024380852877e-16,5.766416843841375e-19,3.404202967175943e-06,1.380303241429312e-07,1.23019322989022e-09,5.858055585310294e-12
3.0,0.9999920272318487,6.191400239566996e-13,1.379546236495591e-15,2.9194331458076168e-18,7.659418361515328e-06,3.105680527383201e-07,2.7679346899635867e-09,1.3180752517190963e-11
4.0,0.9999858262849359,1.956796197101193e-12,4.36005715470568e-15,9.227073691036528e-18,1.3616648398379901e-05,5.521205001768046e-07,4.920772840549387e-09,2.34325371323384e-11
5.0,0.9999778537610532,4.777359991172869e-12,1.064470017684481e-14,2.2527263107714716e-17,2.1275821562188623e-05,8.626872757761475e-07,7.688707719033603e-09,3.661339953023769e-11
6.0,0.999968109751851,9.906399061968144e-12,2.2072925011502294e-14,4.671303391379455e-17,3.063684588840377e-05,1.2422678703265639e-06,1.1071739187134586e-08,5.272338834144976e-11
7.0,0.9999565943693786,1.8352971348834245e-11,4.089298058811532e-14,8.654191714540871e-17,4.1699608940232184e-05,1.690861655288023e-06,1.506986736605898e-08,7.176243325913426e-11
8.0,0.9999433077461108,3.1309643613276185e-11,6.976194154089447e-14,1.4763765319444737e-16,5.446397780273028e-05,2.2084678833979502e-06,1.9683091925700415e-08,9.373063583323473e-11
