0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.500000000000000000e+00 1.373925319017715585e-01 8.626074680982298570e-01
5.000000000000000000e+00 4.734901774943801600e-01 5.265098225056212833e-01
7.500000000000000000e+00 8.230361580646957664e-01 1.769638419353078418e-01
1.000000000000000000e+01 9.953863031250542726e-01 4.613696874948449225e-03
1.250000000000000000e+01 8.993363019375136824e-01 1.006636980624925209e-01
1.500000000000000000e+01 5.907426565976978683e-01 4.092573434023118462e-01
1.750000000000000000e+01 2.390861157137967041e-01 7.609138842862160912e-01
2.000000000000000000e+01 3.423843908038070455e-02 9.657615609196316120e-01
2.250000000000000000e+01 8.500555563261168179e-02 9.149944443674032923e-01
2.500000000000000000e+01 3.624780074784231809e-01 6.375219925215857009e-01
2.750000000000000000e+01 7.163587897997909515e-01 2.836412102002153213e-01
3.000000000000000000e+01 9.552026814073645289e-01 4.479731859263916260e-02
3.250000000000000000e+01 9.491236828851490337e-01 5.087631711485405411e-02
3.500000000000000000e+01 7.008483380737415835e-01 2.991516619262622467e-01
3.750000000000000000e+01 3.456823325628449184e-01 6.543176674371576906e-01
4.000000000000000000e+01 7.816524315033425430e-02 9.218347568496709776e-01
4.250000000000000000e+01 4.443378624961610845e-02 9.555662137503857512e-01
4.500000000000000000e+01 2.607109923153890230e-01 7.392890076846121428e-01
4.750000000000000000e+01 6.050324689182606797e-01 3.949675310817403195e-01
5.000000000000000000e+01 8.870263001121734270e-01 1.129736998878277804e-01
5.250000000000000000e+01 9.547565173482840395e-01 4.524348265171899974e-02
5.500000000000000000e+01 7.771284456043507927e-01 2.228715543956521494e-01
5.750000000000000000e+01 4.568559554475058460e-01 5.431440445524965410e-01
6.000000000000000000e+01 1.702618112940615935e-01 8.297381887059407379e-01
6.250000000000000000e+01 7.032350840854438567e-02 9.296764915914584870e-01
6.500000000000000000e+01 2.062641107876169166e-01 7.937358892123830278e-01
6.750000000000000000e+01 5.005784952048419889e-01 4.994215047951602315e-01
7.000000000000000000e+01 7.928180907358886031e-01 2.071819092641122573e-01
7.250000000000000000e+01 9.258608430338166606e-01 7.413915696618401940e-02
7.500000000000000000e+01 8.297343200509152972e-01 1.702656799490840089e-01
7.750000000000000000e+01 5.590358313934389312e-01 4.409641686065605137e-01
8.000000000000000000e+01 2.631359400944277560e-01 7.368640599055700235e-01
8.250000000000000000e+01 1.039755872573761009e-01 8.960244127426273408e-01
8.500000000000000000e+01 1.661931077316156358e-01 8.338068922683865569e-01
8.750000000000000000e+01 4.105449112658714483e-01 5.894550887341281076e-01
9.000000000000000000e+01 6.978625990061099182e-01 3.021374009938888605e-01
9.250000000000000000e+01 8.693966862454765021e-01 1.306033137545206946e-01
9.500000000000000000e+01 8.359553067626257494e-01 1.640446932373707534e-01
9.750000000000000000e+01 6.243869396998608101e-01 3.756130603001375245e-01
1.000000000000000000e+02 3.572480267234109941e-01 6.427519732765887284e-01
1.025000000000000000e+02 1.811735712797852005e-01 8.188264287202146052e-01
1.050000000000000000e+02 1.867642602750413938e-01 8.132357397249584396e-01
1.075000000000000000e+02 3.634447789310894517e-01 6.365552210689073842e-01
1.100000000000000000e+02 6.101614861808727364e-01 3.898385138191248211e-01
1.125000000000000000e+02 7.925088770579908903e-01 2.074911229420067782e-01
1.150000000000000000e+02 8.147411986076505963e-01 1.852588013923448518e-01
1.175000000000000000e+02 6.695669442701444041e-01 3.304330557298502669e-01
1.200000000000000000e+02 4.403902235990284630e-01 5.596097764009657638e-01
1.225000000000000000e+02 2.546987935315815910e-01 7.453012064684114701e-01
1.250000000000000000e+02 2.132183109068474525e-01 7.867816890931453866e-01
1.275000000000000000e+02 3.339291855857920988e-01 6.660708144142020171e-01
1.300000000000000000e+02 5.433327441477500130e-01 4.566672558522429926e-01
1.325000000000000000e+02 7.206376802211742483e-01 2.793623197788185353e-01
1.350000000000000000e+02 7.685289715290746226e-01 2.314710284709176058e-01
1.375000000000000000e+02 6.677723103989792186e-01 3.322276896010128988e-01
1.400000000000000000e+02 4.838053912915214472e-01 5.161946087084685608e-01
1.425000000000000000e+02 3.241833111398206291e-01 6.758166888601682132e-01
1.450000000000000000e+02 2.752579807710248128e-01 7.247420192289646401e-01
1.475000000000000000e+02 3.560839272477741568e-01 6.439160727522149630e-01
1.500000000000000000e+02 5.135328001890595573e-01 4.864671998109304507e-01
1.525000000000000000e+02 6.568048606142783408e-01 3.431951393857102239e-01
1.550000000000000000e+02 7.088556323546200133e-01 2.911443676453687179e-01
1.575000000000000000e+02 6.466216642507358614e-01 3.533783357492515931e-01
1.600000000000000000e+02 5.105300372060377345e-01 4.894699627939481656e-01
1.625000000000000000e+02 3.800263352873785028e-01 6.199736647126041778e-01
1.650000000000000000e+02 3.285823294141506645e-01 6.714176705858299066e-01
1.675000000000000000e+02 3.822808678613408562e-01 6.177191321386390488e-01
1.700000000000000000e+02 5.052762440710228953e-01 4.947237559289569542e-01
