intensity_meV,P_g_n0_avg,P_g_n1_avg,P_g_n2_avg,P_g_n3_avg,P_e_n0_avg,P_e_n1_avg,P_e_n2_avg,P_e_n3_avg
1.0,0.9999999973348146,7.794175839723498e-16,8.344981295685e-22,9.97600328902754e-25,2.5896984001225706e-09,7.464640507449858e-11,8.312493188234891e-13,4.959118414632121e-15
2.0,0.9999999893397579,1.2450990063572683e-14,1.337612805364253e-20,1.592405046575957e-23,1.035830546858466e-08,2.985776095904328e-10,3.3248657240643676e-12,1.9839960838303464e-14
3.0,0.999999976014723,6.299695634280275e-14,6.776316958029042e-20,8.065308527748726e-23,2.330589217069265e-08,6.717954429126449e-10,7.480890755564032e-12,4.463972220567536e-14
4.0,0.9999999573597091,1.9903419794204402e-13,2.1423422012835945e-19,2.5495223091619006e-22,4.143241214665353e-08,1.194299968215207e-09,1.3299326286610469e-11,7.936033455154478e-14
5.0,0.9999999333745543,4.858186209080375e-13,5.2312661919478775e-19,6.224153725111927e-22,6.473796807416033e-08,1.8660896297016487e-09,2.078013870341505e-11,1.2400094512477652e-13
6.0,0.9999999040593133,1.0072243888247042e-12,1.0848508380129353e-18,1.2907024755537886e-21,9.322241491718275e-08,2.6871655492497585e-09,2.992337150835413e-11,1.7856175713794865e-13
7.0,0.9999998694136528,1.865775059967792e-12,2.0100168862361227e-18,2.3912925033907983e-21,1.268859829728183e-07,3.6575280044343735e-09,4.072902188950299e-11,2.4304316189824393e-13
8.0,0.9999998294374692,3.182595617407384e-12,3.4289311912655617e-18,4.0794085625379696e-21,1.6572865684098713e-07,4.777177365129682e-09,5.3197088851812585e-11,3.1744485270161523e-13
