intensity_meV,Evib_ground_avg_eV,Evib_excited_avg_eV,Evib_total_avg_eV
1.0,1.5588385119228196e-16,1.5264756213477893e-11,1.5264912097329082e-11
2.0,2.4902033727201887e-15,6.105737218421531e-11,6.105986238758802e-11
3.0,1.2599418422220233e-14,1.3737822871807803e-10,1.373908281365002e-10
4.0,3.980692543506819e-14,2.4422734035841657e-10,2.4426714728385164e-10
5.0,9.716393380570443e-14,3.816043819887706e-10,3.817015459225763e-10
6.0,2.0144531247969753e-13,5.495095955075761e-10,5.497110408200558e-10
7.0,3.7315581743508853e-13,7.479430355398148e-10,7.4831619135725e-10
8.0,6.365204975015984e-13,9.769047754782823e-10,9.775412959757838e-10
