intensity_meV,Evib_ground_avg_eV,Evib_excited_avg_eV,Evib_total_avg_eV
1.0,1.4167411663544604e-15,6.748119352417372e-09,6.748120769158538e-09
2.0,2.26678052710552e-14,2.699242458363186e-08,2.6992447251437133e-08
3.0,1.1475538127017804e-13,6.073274070088127e-08,6.073285545626254e-08
4.0,3.626820434093449e-13,1.0796877423748588e-07,1.079691369195293e-07
5.0,8.854491736204252e-13,1.6870011269582124e-07,1.6870099814499485e-07
6.0,1.836054766857475e-12,2.429262243808605e-07,2.4292806043562737e-07
7.0,3.401490612170625e-12,3.306464583374647e-07,3.306498598280768e-07
8.0,5.8027388441389355e-12,4.318600443370439e-07,4.31865847075888e-07
