0.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 1.999999994294264560e+00 9.470495974298563935e-01 5.282975533411958351e-04 1.052950396971997993e+00 1.628590231592422720e-04 -6.911566840904107912e-04
1.000000000000000000e+01 1.999999984902266048e+00 1.993469368621238136e+00 4.165339478901252529e-03 6.530616569667773395e-03 8.707511333743902116e-04 -5.036090900915482851e-03
1.500000000000000000e+01 1.999999980315883441e+00 1.189548171044357616e+00 5.897659686173580169e-03 8.104518096481184708e-01 -6.856825200830143734e-04 -5.211977542683425557e-03
2.000000000000000000e+01 1.999999972074995247e+00 6.556564656716892814e-02 3.658451088805322535e-03 1.934434326041455154e+00 -3.480494124026964689e-03 -1.779574984069649682e-04
2.500000000000000000e+01 1.999999961416542904e+00 7.121898701549022048e-01 5.170095383803727934e-03 1.287810091999919804e+00 -1.778577412059427531e-03 -3.391518710023356566e-03
3.000000000000000000e+01 1.999999951202797721e+00 1.929601118927818160e+00 5.307751504258642963e-03 7.039883320995070359e-02 7.905050027489631068e-04 -6.098257441978578025e-03
3.500000000000000000e+01 1.999999947113515475e+00 1.427965229082049925e+00 1.330433123767716568e-03 5.720347190450928432e-01 4.201629139272017874e-04 -1.750597051322612830e-03
4.000000000000000000e+01 1.999999938155961665e+00 1.209318326360523527e-01 8.694568807936378592e-06 1.879068106705727992e+00 1.407703508758479576e-05 -2.277278971388015379e-05
4.500000000000000000e+01 1.999999928690744833e+00 4.782124129402086643e-01 1.341584912152639115e-04 1.521787517118341260e+00 1.270280829184961498e-05 -1.468626673123522852e-04
5.000000000000000000e+01 1.999999920128534336e+00 1.821458946736120632e+00 2.792224506535380315e-03 1.785409749246012756e-01 6.659189776941682902e-04 -3.458145016417141660e-03
5.500000000000000000e+01 1.999999916034361780e+00 1.626843449104691031e+00 6.094950310982792489e-03 3.731564685407672832e-01 1.998109070649565654e-04 -6.294762829144115099e-03
6.000000000000000000e+01 1.999999906485563361e+00 2.906743748423027962e-01 4.256638815765887221e-03 1.709325533438367906e+00 -2.904000267529946444e-03 -1.352640343343409915e-03
6.500000000000000000e+01 1.999999898111330499e+00 3.079253424322807020e-01 4.288531312669901195e-03 1.692074557634787091e+00 -2.796858479894457662e-03 -1.491674788512828724e-03
7.000000000000000000e+01 1.999999890359033250e+00 1.647095964402624402e+00 5.901902375867061970e-03 3.529039280602748185e-01 3.110500861438829324e-04 -6.212954565876795641e-03
7.500000000000000000e+01 1.999999883614309804e+00 1.805479580776155668e+00 2.514575456347935799e-03 1.945203050734339856e-01 7.168869782584368425e-04 -3.231464669886315120e-03
8.000000000000000000e+01 1.999999876089857853e+00 4.542755300704356958e-01 1.035824395875403715e-04 1.545724348400192349e+00 7.495470707298959644e-05 -1.785395274307141676e-04
8.500000000000000000e+01 1.999999868274010550e+00 1.348574280730946151e-01 2.161713174998386431e-05 1.865142442732184325e+00 -3.566783709580591678e-05 1.404817407763538515e-05
9.000000000000000000e+01 1.999999859657553447e+00 1.452924454347292338e+00 1.543872783201349214e-03 5.470754080076518644e-01 3.476038914341963559e-04 -1.891479372026683495e-03
9.500000000000000000e+01 1.999999852699046121e+00 1.919450576785823426e+00 5.595992386436242534e-03 8.054927874661671483e-02 7.014598217475973571e-04 -6.297455041577984525e-03
1.000000000000000000e+02 1.999999846358777811e+00 6.880567031803132005e-01 5.177983834129634873e-03 1.311943146134296079e+00 -1.930113524070752734e-03 -3.247873265889977216e-03
1.050000000000000000e+02 1.999999837207711462e+00 7.198435019701632243e-02 3.684724639559358930e-03 1.928015490143491384e+00 -3.447312822191206730e-03 -2.374149501642221509e-04
1.100000000000000000e+02 1.999999826125674840e+00 1.214871452240168681e+00 5.815949619629355583e-03 7.851283772345420964e-01 -5.574248780602582319e-04 -5.258528090604954255e-03
1.150000000000000000e+02 1.999999818339208035e+00 1.990014920474714621e+00 3.866021478917611599e-03 9.984901366086320132e-03 9.132182730329435139e-04 -4.779243253543809938e-03
1.200000000000000000e+02 1.999999813860784403e+00 9.190092002989103115e-01 4.447800936104917883e-04 1.080990617150378696e+00 2.193196240927020155e-04 -6.641033062075527840e-04
1.250000000000000000e+02 1.999999804277592830e+00 4.458279336364416893e-04 2.153907678721344375e-05 1.999553980120204466e+00 -2.390686282858944431e-05 2.364009793362317490e-06
1.300000000000000000e+02 1.999999794594021774e+00 9.751142566412389634e-01 6.658794094277225998e-04 1.024885541918838738e+00 6.816000217046374427e-05 -7.340433776541198689e-04
1.350000000000000000e+02 1.999999787125779971e+00 1.996188971432291126e+00 4.501298686663779587e-03 3.810819805983776259e-03 7.928774972569673646e-04 -5.294180296415682691e-03
1.400000000000000000e+02 1.999999782288036654e+00 1.164142694850772708e+00 5.993154224136293395e-03 8.358570916447058963e-01 -8.476611632167475050e-04 -5.145497268361572292e-03
1.450000000000000000e+02 1.999999772064357195e+00 5.969651607293418455e-02 3.659202597111276944e-03 1.940303260400380925e+00 -3.533978335474708896e-03 -1.252286705942266202e-04
1.500000000000000000e+02 1.999999764159857030e+00 7.365305991001670494e-01 5.179149134384199160e-03 1.263469169623640642e+00 -1.656195799234292743e-03 -3.522957899100289184e-03
1.550000000000000000e+02 1.999999755701957982e+00 1.939118376563579993e+00 5.045069865808740790e-03 6.088138386891760179e-02 8.427384172203851876e-04 -5.887813013568701272e-03
1.600000000000000000e+02 1.999999749994856746e+00 1.402634974930285550e+00 1.171172704520381108e-03 5.973647799093265709e-01 4.573099526585586291e-04 -1.628487501934149703e-03
