0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 4.708803934501688257e-05 2.632553624370164848e-07 1.162264461004116294e-09 4.169607353903935978e-12 1.262421296288225906e-14
1.000000000000000000e+01 9.759991756094046130e-05 2.050043983665726234e-06 2.325616002750278059e-08 1.848792164147139524e-10 1.137612670504767302e-12
1.500000000000000000e+01 5.654232707262776559e-05 2.901754439305790232e-06 3.791384931426389371e-08 2.466472386828567674e-10 9.826203757298506984e-13
2.000000000000000000e+01 1.463511077853234601e-06 1.806905313508438849e-06 2.366516945580148986e-08 1.321019203649864771e-10 4.607622251693394009e-13
2.500000000000000000e+01 3.302626207870363359e-05 2.555576927052993757e-06 3.267347081068734756e-08 1.853436191070762604e-10 6.082993647337715361e-13
3.000000000000000000e+01 9.379895295534253826e-05 2.642302096346616546e-06 3.323004311046991546e-08 2.674059050520202177e-10 1.575247520411787028e-12
3.500000000000000000e+01 7.073895016819191513e-05 6.811932628038206628e-07 4.804944780059325340e-09 2.721033388928210233e-11 1.293247855411214365e-13
4.000000000000000000e+01 6.060644092715184123e-06 3.717861844661439184e-09 6.987968481601377774e-13 1.834785660245544606e-14 1.239431225411258121e-16
4.500000000000000000e+01 2.381837946864443891e-05 6.141599308102873338e-08 1.415668237991008714e-10 1.863547224057459029e-13 6.255716128356238868e-17
5.000000000000000000e+01 8.970069297543567261e-05 1.345138654671003276e-06 1.256456098802662949e-08 8.750649115677707997e-11 5.182467528089278274e-13
5.500000000000000000e+01 7.834636818314015636e-05 2.967149155408150921e-06 3.889391914597570074e-08 2.900898132231743555e-10 1.414250947480918683e-12
6.000000000000000000e+01 1.242207266288468883e-05 2.098450952460656605e-06 2.729966157985720672e-08 1.503966232851263795e-10 4.929235571632969775e-13
6.500000000000000000e+01 1.326168898753590545e-05 2.118837434956805872e-06 2.691232593719729243e-08 1.444766766094775793e-10 4.883253676764354354e-13
7.000000000000000000e+01 7.934825949156369392e-05 2.952515006159354546e-06 3.836019555368562499e-08 2.839933313546264005e-10 1.470013455297196471e-12
7.500000000000000000e+01 8.899081053552995626e-05 1.300843715059991714e-06 1.246090832116222360e-08 9.014776125232605641e-11 4.942753187271021966e-13
8.000000000000000000e+01 2.271846028765206701e-05 5.509571832681302021e-08 1.023661003883756329e-10 3.904386295477411783e-13 2.665262825945256651e-15
8.500000000000000000e+01 6.699851748454178952e-06 4.625874267031786933e-09 1.031248715214583312e-11 5.488896063140852642e-14 1.471811866252756287e-15
