0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999514905795909847e-01 4.845064568542941134e-05 5.871512712724113461e-08 5.954227768253515583e-11 5.144576231826331677e-14
5.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.993708049859503229e-01 6.266248153244474922e-04 2.561655904024888893e-06 8.518908143711160592e-09 2.390314540780489433e-11
7.500000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.977553259645719486e-01 2.229198083189153426e-03 1.539412854381112596e-05 8.147162921743474136e-08 3.520542454873800157e-10
1.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.956620630822872187e-01 4.302510902118163866e-03 3.522753634449238530e-05 1.976439958487519754e-07 8.352409010884610979e-10
1.250000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.943947445635893390e-01 5.562580581890480373e-03 4.248802439037172485e-05 1.862973064189073592e-07 5.328075837297124221e-10
1.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.946343083521556050e-01 5.332688721059660256e-03 3.289842329344453526e-05 1.042778392573125694e-07 2.256369923412780779e-10
1.750000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.957519323701751190e-01 4.226933399013036580e-03 2.106591234376581833e-05 6.814979259627762919e-08 1.686599886517310376e-10
2.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.965349252214144027e-01 3.450010523451734964e-03 1.500436630170130465e-05 5.974462544364561559e-08 1.441862234597272800e-10
2.250000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.963620696366398688e-01 3.624400428716503982e-03 1.346278163711158671e-05 6.695578442987256067e-08 1.971964313635816704e-10
2.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.955349901689225511e-01 4.452814809076378194e-03 1.213435239585374020e-05 6.042170415589688538e-08 2.478743625640737599e-10
2.750000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.946165792773018488e-01 5.375285712835112598e-03 8.117271771398302385e-06 1.768578745407943269e-08 5.228161086617374973e-11
3.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.937347616029025277e-01 6.257777841460137637e-03 7.449300295589427244e-06 1.122413544228946681e-08 3.118137672476895316e-11
3.250000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.927215305706422743e-01 7.265080967046157710e-03 1.334499113798419687e-05 4.335574357021847269e-08 1.154048044182094293e-10
3.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.918019354751842487e-01 8.180175144461130157e-03 1.783043476470685143e-05 5.882104318628770950e-08 1.245205558603368459e-10
3.750000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.916105787402635929e-01 8.368277977034361756e-03 2.108083235662625200e-05 6.231140263790749763e-08 1.389113188042671279e-10
4.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.921698068464066544e-01 7.799855087918796878e-03 3.024455709509200554e-05 9.334197285519410373e-08 1.665742539358327174e-10
4.250000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.923220729478789970e-01 7.632783051904601899e-03 4.491566776847914967e-05 2.275595552653934032e-07 7.728555612612058244e-10
4.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.908482124825774839e-01 9.089022513157535982e-03 6.238559941590874735e-05 3.777701450535868219e-07 1.634663323143492836e-09
4.750000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.880473850796417379e-01 1.187994766946654651e-02 7.231550135623586581e-05 3.506131630737735786e-07 1.136329880526848110e-09
5.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.856886980750196869e-01 1.424801136936009946e-02 6.308960289155896072e-05 2.005374402121790523e-07 4.152411287127784681e-10
