intensity_meV,P_g_n0_avg,P_g_n1_avg,P_g_n2_avg,P_g_n3_avg,P_e_n0_avg,P_e_n1_avg,P_e_n2_avg,P_e_n3_avg
1.0,0.9999999973166117,7.611159084910425e-16,4.730246820744194e-21,6.768492358361332e-24,2.5584723585362343e-09,1.2299620762969104e-10,1.903570831118329e-12,1.4516408368521907e-14
2.0,0.999999989266839,1.2160509731732044e-14,7.558518647263404e-20,1.07962402495187e-22,1.023352632905022e-08,4.919490125803099e-10,7.61368812215683e-12,5.804039692607732e-14
3.0,0.9999999758504631,6.152894724270418e-14,3.8247725709880085e-19,5.463944916546416e-22,2.302535188197947e-08,1.1068636030651644e-09,1.713041818090638e-11,1.3059392324160243e-13
4.0,0.9999999570676333,1.9439254738823672e-13,1.2085742544823552e-18,1.7262898217616988e-21,4.093375275733895e-08,1.9677350121545685e-09,3.0453688952316494e-11,2.321644826570945e-13
5.0,0.9999999329184642,4.744675675467712e-13,2.950089922182396e-18,4.213116906233936e-21,6.395856888417116e-08,3.074544594512334e-09,4.7583096787397615e-11,3.627469276885496e-13
6.0,0.9999999034027249,9.836650050399272e-13,6.1166919189552186e-18,8.734101016285195e-21,9.209994558008299e-08,4.4273015020726274e-09,6.851876043516784e-11,5.2234187577226e-13
7.0,0.9999998685202536,1.82208151172596e-12,1.1331431732426321e-17,1.617757690639178e-20,1.2535793689100053e-07,6.026009027711806e-09,9.326070958441975e-11,7.10949107849434e-13
8.0,0.9999998282709848,3.1079982754824675e-12,1.9330766179949385e-17,2.7593616148860804e-20,1.637325106838633e-07,7.870662441536108e-09,1.218087518999811e-10,9.285653079501539e-13
