intensity_meV,Evib_ground_avg_eV,Evib_excited_avg_eV,Evib_total_avg_eV
1.0,1.5222507785803217e-16,2.5369379703406652e-11,2.536953192848451e-11
2.0,2.4321322451984395e-15,1.0147010200308034e-10,1.0147253413532555e-10
3.0,1.2305942767280369e-14,2.2830324423934043e-10,2.2831555018210774e-10
4.0,3.8878993943123027e-14,4.0586777670143455e-10,4.0590665569537764e-10
5.0,9.489469607319325e-14,6.34159805774039e-10,6.342547004701122e-10
6.0,1.9673545292521365e-13,9.131812097140561e-10,9.133779451669813e-10
7.0,3.644208446244311e-13,1.2429326588408387e-09,1.243297079685463e-09
8.0,6.216074039591352e-13,1.6234131282519841e-09,1.624034735655943e-09
