intensity,P_g_n1_avg
0.06,8.011300223396346e-14
0.07,7.458505136430788e-16
0.08,5.590360541960781e-18
0.09,2.5771726361907934e-20
0.1,2.0298243086121645e-22
0.11,9.948443304353207e-23
0.12,7.818690890888303e-23
0.13,1.5280406989006787e-22
0.14,1.414957155344802e-22
0.15,1.289677850751825e-22
0.16,1.0758506107409693e-22
0.17,8.762047598165951e-23
0.18,6.320244395759889e-23
0.19,5.433378399401488e-23
0.2,3.5240194875606675e-23
0.21,3.6730204343697963e-23
0.22,3.123598598806778e-23
0.23,3.184099347947236e-23
0.24,2.875180297228296e-23
0.25,2.5647420852401675e-23
