intensity_meV,P_g_n1_avg,P_g_n2_avg,P_e_n1_avg,P_e_n2_avg
1.0,5.802793800169965e-16,7.580740818971842e-19,3.4144850257032752e-06,2.2165491450488992e-08
2.0,1.4505991390489627e-16,1.958774454610094e-19,1.7715131016966658e-06,5.095739563352095e-09
3.0,6.446958093158089e-17,8.800900349639353e-20,1.1719354268941247e-06,2.3147350134026535e-09
4.0,3.6263717496210416e-17,4.9774001936487794e-20,8.988328512088886e-07,1.4037893223970524e-09
5.0,2.320861678918586e-17,3.195885560682663e-20,6.749961229169436e-07,9.205223108756251e-10
6.0,1.6117019674478647e-17,2.224162812900311e-20,5.882560002549677e-07,7.05592741095706e-10
7.0,1.1841036107214756e-17,1.636598933651327e-20,5.136031189941207e-07,5.598967750347886e-10
8.0,9.0657705272391e-18,1.254469135212444e-20,4.246732839734296e-07,4.43468002790872e-10
