intensity_meV,Evib_ground_avg_eV,Evib_excited_avg_eV,Evib_total_avg_eV
1.0,1.1635910563615816e-16,6.917632017208506e-07,6.917632018372097e-07
2.0,5.818066751832732e-17,7.126818323293479e-07,7.126818323875285e-07
3.0,3.878735936314421e-17,7.05938938152558e-07,7.059389381913453e-07
4.0,2.9090612400066715e-17,7.213123438829461e-07,7.213123439120368e-07
5.0,2.3272534500399508e-17,6.76837167538695e-07,6.768371675619675e-07
6.0,1.9393803516883984e-17,7.076006228845911e-07,7.076006229039848e-07
7.0,1.6623275320242893e-17,7.206120775618663e-07,7.206120775784893e-07
8.0,1.4545375855909362e-17,6.80896351966418e-07,6.808963519809633e-07
