0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 4.892428385308197623e-08 2.295462002045908803e-13 4.892405430688176979e-08
1.000000000000000000e+01 4.167511243829771828e-07 2.409396461451689322e-12 4.167487149865156261e-07
1.500000000000000000e+01 6.905855453508846470e-07 3.734466950658578541e-12 6.905818108839339194e-07
2.000000000000000000e+01 5.213937313329494018e-07 4.554803479940538970e-11 5.213481832981501641e-07
2.500000000000000000e+01 7.333781259594940355e-07 1.433430235579531882e-10 7.332347829359360341e-07
3.000000000000000000e+01 1.027721562738986691e-06 2.406945622103369416e-10 1.027480868176776794e-06
3.500000000000000000e+01 5.840666551769577863e-07 2.257802698490096648e-10 5.838408749071088248e-07
4.000000000000000000e+01 1.790727952859577959e-07 2.109553778969433981e-10 1.788618399080608261e-07
4.500000000000000000e+01 1.666593178715639433e-07 2.168606475175520264e-10 1.664424572240464275e-07
5.000000000000000000e+01 9.434045677288160136e-08 2.545705240576951222e-10 9.408588624882390520e-08
5.500000000000000000e+01 1.776331028542341692e-07 2.605209406719070715e-10 1.773725819135622749e-07
6.000000000000000000e+01 2.630683412595722439e-07 3.375693785630355736e-10 2.627307718810092007e-07
6.500000000000000000e+01 2.970334514949815749e-07 4.846535344354731232e-10 2.965487979605460780e-07
7.000000000000000000e+01 7.966800011849934924e-07 6.579487190142543162e-10 7.960220524659792239e-07
7.500000000000000000e+01 1.057515559490860086e-06 6.868388180093527303e-10 1.056828720672850558e-06
8.000000000000000000e+01 6.177273387144667771e-07 6.057940480087831007e-10 6.171215446664580156e-07
8.500000000000000000e+01 4.802817270812184701e-07 5.901671880800551032e-10 4.796915598931383468e-07
9.000000000000000000e+01 5.527463156105107457e-07 6.550345570396570799e-10 5.520912810534710762e-07
9.500000000000000000e+01 2.284593424365303848e-07 6.995482963990774507e-10 2.277597941401312943e-07
1.000000000000000000e+02 2.065237961908554536e-08 6.652653216364780521e-10 1.998711429744906493e-08
1.050000000000000000e+02 1.550454605457805485e-08 7.001504187804776100e-10 1.480439563579757620e-08
1.100000000000000000e+02 1.510075656991916396e-07 7.663490561779540727e-10 1.502412166430136711e-07
1.150000000000000000e+02 6.335286483563706912e-07 8.359298627401071483e-10 6.326927184936306275e-07
1.200000000000000000e+02 7.669255150969308859e-07 7.423531099000900491e-10 7.661831619870306331e-07
1.250000000000000000e+02 5.501171980401165976e-07 6.866218650289764345e-10 5.494305761750875753e-07
1.300000000000000000e+02 8.135958956949647695e-07 7.128124063091807240e-10 8.128830832886556172e-07
1.350000000000000000e+02 8.994118801208044961e-07 8.006452551419539933e-10 8.986112348656626436e-07
1.400000000000000000e+02 3.659758847278888135e-07 7.229882419564198947e-10 3.652528964859324141e-07
1.450000000000000000e+02 9.460736667913692089e-08 5.932450894771281126e-10 9.401412158965977551e-08
1.500000000000000000e+02 8.449883455593860143e-08 4.958317542123236663e-10 8.400300280172628832e-08
1.550000000000000000e+02 9.584684361870093338e-08 4.790745582786863903e-10 9.536776906042225475e-08
1.600000000000000000e+02 3.153899746940386589e-07 4.539012083846142506e-10 3.149360734856540516e-07
1.650000000000000000e+02 3.484348144149918777e-07 3.897790385236499931e-10 3.480450353764682258e-07
1.700000000000000000e+02 4.402747176151795114e-07 3.852840402439313676e-10 4.398894335749356417e-07
1.750000000000000000e+02 9.743999557512865522e-07 4.280561020548277071e-10 9.739718996492316284e-07
1.800000000000000000e+02 9.867222748919237091e-07 4.141765806771368492e-10 9.863080983112466287e-07
1.850000000000000000e+02 4.756066288248596949e-07 2.647479514212204302e-10 4.753418808734385216e-07
1.900000000000000000e+02 4.163698670083039498e-07 1.365889732922151080e-10 4.162332780350116783e-07
1.950000000000000000e+02 3.890412660095210554e-07 6.746977271628818342e-11 3.889737962368047105e-07
2.000000000000000000e+02 1.094747850893156739e-07 6.127653797114311830e-11 1.094135085513445367e-07
2.050000000000000000e+02 4.748740694829562099e-08 4.883836608814479557e-11 4.743856858220748757e-08
2.100000000000000000e+02 5.639061289309505610e-08 4.375361394684490500e-11 5.634685927914822405e-08
2.150000000000000000e+02 3.169553012814241043e-07 4.436661047879270710e-11 3.169109346709452764e-07
2.200000000000000000e+02 8.388516993609364549e-07 5.128629337283680143e-11 8.388004130675636189e-07
2.250000000000000000e+02 7.783373319458989766e-07 1.620767167403895093e-11 7.783211242742247974e-07
