nu_eV,kappa_ratio,kappa_rate_fs_inv,kappa_eV,omega_rabi_eV,omega_rabi_rate_fs_inv,time_avg_start_fs,time_window_fs,Evib_per_molecule_g_avg_eV,Evib_per_molecule_g_max_eV
0.197,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,4.874004252300996e-10,4.952501356917638e-10
0.198,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,4.910042339657265e-10,4.977084575563483e-10
0.19866,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,4.882679462852543e-10,4.948880968330584e-10
0.199,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,4.85273024719776e-10,4.920115591746282e-10
0.2,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,4.705778575004746e-10,4.783306339038048e-10
0.201,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,4.482502480257013e-10,4.5824414124122566e-10
0.202,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,4.202633551137579e-10,4.3411486846976017e-10
0.203,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,3.888073872790269e-10,4.0795150900242533e-10
0.21,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,1.9024893790596097e-10,2.4408488827992265e-10
0.22,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,7.230832322394868e-11,1.2766457665181112e-10
0.23,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,3.415047290613841e-11,6.744249024252407e-11
0.24,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,1.8791132787888375e-11,4.6615665867161665e-11
0.16,0.2,0.06077069846457407,0.04,0.2,0.30385349232287034,0.0,20000.0,4.169118898214488e-11,1.1619307313453778e-10
0.17,0.2,0.06077069846457407,0.04,0.2,0.30385349232287034,0.0,20000.0,5.7611969756173666e-11,1.0658943168679319e-10
0.18,0.2,0.06077069846457407,0.04,0.2,0.30385349232287034,0.0,20000.0,8.391233331910916e-11,1.1551437368348367e-10
0.19,0.2,0.06077069846457407,0.04,0.2,0.30385349232287034,0.0,20000.0,1.162308597772692e-10,1.2704085749617018e-10
0.195,0.2,0.06077069846457407,0.04,0.2,0.30385349232287034,0.0,20000.0,1.241138194668668e-10,1.2955686384750162e-10
0.196,0.2,0.06077069846457407,0.04,0.2,0.30385349232287034,0.0,20000.0,1.2416396328939618e-10,1.2893591931256084e-10
0.197,0.2,0.06077069846457407,0.04,0.2,0.30385349232287034,0.0,20000.0,1.2363080263170507e-10,1.2794397253516295e-10
0.198,0.2,0.06077069846457407,0.04,0.2,0.30385349232287034,0.0,20000.0,1.2251179480456292e-10,1.2671715605874716e-10
0.19866,0.2,0.06077069846457407,0.04,0.2,0.30385349232287034,0.0,20000.0,1.2145862381917632e-10,1.256505145739759e-10
0.199,0.2,0.06077069846457407,0.04,0.2,0.30385349232287034,0.0,20000.0,1.2082133048057587e-10,1.250223088776406e-10
0.2,0.2,0.06077069846457407,0.04,0.2,0.30385349232287034,0.0,20000.0,1.1859012470006926e-10,1.2287584154146839e-10
0.201,0.2,0.06077069846457407,0.04,0.2,0.30385349232287034,0.0,20000.0,1.1586345685225529e-10,1.2050602335535244e-10
0.202,0.2,0.06077069846457407,0.04,0.2,0.30385349232287034,0.0,20000.0,1.1269845511492958e-10,1.1786745426202718e-10
0.203,0.2,0.06077069846457407,0.04,0.2,0.30385349232287034,0.0,20000.0,1.0916074833920863e-10,1.1496220673118849e-10
0.21,0.2,0.06077069846457407,0.04,0.2,0.30385349232287034,0.0,20000.0,7.970976198720836e-11,8.951846270016868e-11
0.22,0.2,0.06077069846457407,0.04,0.2,0.30385349232287034,0.0,20000.0,4.498581263023902e-11,6.065966011205872e-11
0.23,0.2,0.06077069846457407,0.04,0.2,0.30385349232287034,0.0,20000.0,2.568830876040308e-11,3.9639966881966185e-11
0.24,0.2,0.06077069846457407,0.04,0.2,0.30385349232287034,0.0,20000.0,1.5563126835234506e-11,3.036020172166772e-11
