nu_eV,kappa_ratio,kappa_rate_fs_inv,kappa_eV,omega_rabi_eV,omega_rabi_rate_fs_inv,time_avg_start_fs,time_window_fs,Evib_per_molecule_g_avg_eV,Evib_per_molecule_g_max_eV
0.16,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,5.327171358797979e-11,2.95092377427815e-10
0.17,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,8.543072647944771e-11,4.112106519209925e-10
0.18,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,1.7939099744255382e-10,7.073900291511737e-10
0.19,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,7.404789796828754e-10,2.2567825752765163e-09
0.195,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,3.704791986454183e-09,7.891255946184228e-09
0.196,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,6.513879880157733e-09,1.1761467443145582e-08
0.197,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,1.3705579284605875e-08,1.943429279085451e-08
0.198,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,3.4042114385471365e-08,3.6714600739858576e-08
0.19866,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,4.6743677445463783e-08,4.9188876203432166e-08
0.199,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,4.1928148049911844e-08,4.3988570226563347e-08
0.2,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,1.735040145553838e-08,2.2389334420925903e-08
0.201,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,7.5730428936235e-09,1.2658606935009217e-08
0.202,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,4.0287701039552216e-09,8.035654914472707e-09
0.203,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,2.455081892404941e-09,5.509962208842135e-09
0.21,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,3.536519916984706e-10,1.0875694884363617e-09
0.22,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,9.1586697130008e-11,3.109372310828604e-10
0.23,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,3.886141022020607e-11,1.4172000899798685e-10
0.24,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,2.048489923286746e-11,7.556338176334756e-11
