Rabi_meV,P_g_0_avg,P_g_1_avg,P_g_2_avg,P_g_3_avg
0.2,0.9999999973342546,7.648234920827547e-16,8.307871182501257e-22,9.920410889576207e-25
0.2005,0.9999999973345169,1.994882215264536e-15,8.4103913384511e-22,9.95844315044349e-25
0.201,0.9999999973362339,1.3166171381938696e-14,8.609217186530674e-22,1.0225648174761699e-24
0.2011,0.9999999973360097,2.245035804354314e-14,8.496915475506769e-22,9.971805808049918e-25
0.2012,0.9999999973364505,8.947796740481518e-14,8.63412995547854e-22,1.0299114267420827e-24
0.20125,0.9999999973368021,1.4927297481270204e-13,8.540519840099729e-22,1.0191419038773582e-24
0.2013,0.9999999973363531,1.983375345463803e-13,8.498940961428678e-22,1.0063104354091084e-24
0.20132,0.9999999973361363,2.0849237954800964e-13,8.52562151049036e-22,1.0154575919539801e-24
0.20134,0.9999999973360281,2.1140229164249561e-13,8.572719432459464e-22,1.0382358984986554e-24
0.20136,0.9999999973361254,2.0678717483870425e-13,8.64470481960156e-22,1.0239352230934396e-24
0.20138,0.9999999973363582,1.9510179418703225e-13,8.711958027918558e-22,9.857578162533938e-25
0.2014,0.9999999973366959,1.7751032197578086e-13,8.75324716676277e-22,1.0300700458475106e-24
0.20145,0.9999999973373072,1.1938703976290944e-13,8.743774596637107e-22,9.73799915232809e-25
0.2015,0.9999999973370789,6.456087386147282e-14,8.724269068952656e-22,1.0241127179165799e-24
0.2016,0.9999999973371644,1.8096430772849764e-14,8.767602555853213e-22,1.0446281272906007e-24
0.2017,0.9999999973376656,1.183502608270076e-14,8.745328582661873e-22,1.03596220855169e-24
0.202,0.9999999973378415,3.1277524464225828e-15,8.872747420630409e-22,1.0462355841465674e-24
