cv,Evib_ground_avg_eV,Evib_excited_avg_eV,Evib_total_avg_eV
0.2,2.1810457069965466e-10,5.265843789896806e-16,2.1810404411527562e-10
0.202,2.193261960295609e-10,1.328994086969986e-15,2.1932486703547397e-10
0.204,2.205565908634029e-10,7.680499379807386e-15,2.205489103640231e-10
0.205,2.2128261642987327e-10,1.0183421657412152e-13,2.2118078221329915e-10
0.2052,2.2167036295134702e-10,4.139794367701768e-13,2.2125638351457684e-10
0.2053,2.2257290690137972e-10,1.3898173433051215e-12,2.211830895580746e-10
0.20536,2.2313038868704086e-10,1.971556116013287e-12,2.2115883257102753e-10
0.20538,2.2324452482278665e-10,2.069863702356079e-12,2.2117466112043054e-10
0.2054,2.2330328472843668e-10,2.101334704128414e-12,2.212019500243083e-10
0.20542,2.233005004399235e-10,2.0629967754972742e-12,2.212375036644262e-10
0.20544,2.2323560280228522e-10,1.9584719102959253e-12,2.212771308919893e-10
0.2055,2.2275671870644545e-10,1.3666983957080123e-12,2.2139002031073739e-10
0.2056,2.2193368980716574e-10,4.023667757079302e-13,2.2153132303145776e-10
0.206,2.2183227575958848e-10,4.413758281975209e-14,2.2178813817676872e-10
0.207,2.224434220846524e-10,5.788153938220612e-15,2.2243763393071414e-10
0.208,2.2306400683499535e-10,2.2261394763656843e-15,2.2306178069551902e-10
0.21,2.243398775791553e-10,7.034018121025742e-16,2.2433917417734318e-10
