cv,P_g_n1_avg,P_g_n2_avg,P_e_n1_avg,P_e_n2_avg
0.2,2.6326010248817324e-15,1.5955829612726056e-19,9.976670806706476e-10,4.4882928832057134e-11
0.202,6.6446387365312745e-15,1.6495014362465726e-19,1.002758850061509e-09,4.536946820705456e-11
0.204,3.840215316545212e-14,1.7094361615414108e-19,1.00784909369096e-09,4.5864397113041316e-11
0.205,5.091707333223152e-13,1.7384020439780715e-19,1.0104865590919729e-09,4.6115203146173776e-11
0.2052,2.0698968326161428e-12,1.746817784220747e-19,1.0107817279630652e-09,4.615493167511972e-11
0.2053,6.949086363557643e-12,1.755466045950185e-19,1.010421548815358e-09,4.615167347261328e-11
0.20536,9.857780229585866e-12,1.743024285661294e-19,1.0102895213854959e-09,4.615670587368486e-11
0.20538,1.034931816254652e-11,1.736791933390862e-19,1.0103566055138703e-09,4.616249961863944e-11
0.2054,1.050667317217799e-11,1.7329433653356339e-19,1.0104768391920706e-09,4.617030964213039e-11
0.20542,1.0314983528979761e-11,1.7331555902579543e-19,1.0106350826322992e-09,4.617972873937236e-11
0.20544,9.792359202065796e-12,1.737690998236138e-19,1.010811583939652e-09,4.6190168477132587e-11
0.2055,6.833491624904253e-12,1.758788849228475e-19,1.011308841518857e-09,4.6222579268082334e-11
0.2056,2.0118335249542857e-12,1.7585385027555613e-19,1.0119297514930089e-09,4.6263875310581483e-11
0.206,2.2068755856368026e-13,1.768219455171451e-19,1.0130013934637683e-09,4.636596316289562e-11
0.207,2.894040779672614e-14,1.7998960487677385e-19,1.0157178087995833e-09,4.66211637716885e-11
0.208,1.1130329251258845e-14,1.830962441157662e-19,1.0183084964786377e-09,4.687581442839358e-11
0.21,3.5166279603650636e-15,1.8955735405739936e-19,1.0236246361819057e-09,4.739027028197514e-11
