intensity_meV,Evib_ground_avg_eV,Evib_excited_avg_eV,Evib_total_avg_eV
1.0,1.1635910563615816e-16,6.917632017208506e-07,6.917632018372097e-07
2.0,2.3272233885100914e-16,1.4253572144424345e-06,1.425357214675157e-06
3.0,3.490852406028706e-16,2.117797660751753e-06,2.117797661100838e-06
4.0,4.654478110713499e-16,2.8852102181064754e-06,2.885210218571923e-06
5.0,5.818100502966312e-16,3.3841246228829193e-06,3.384124623464729e-06
6.0,6.981719582914508e-16,4.245507693464199e-06,4.24550769416237e-06
7.0,8.145335350538428e-16,5.044147692137916e-06,5.04414769295245e-06
8.0,9.30894780601625e-16,5.4469984452219945e-06,5.4469984461528905e-06
