intensity_meV,P_g_n1_avg,P_g_n2_avg,P_e_n1_avg,P_e_n2_avg
1.0,5.802793800169965e-16,7.580740818971842e-19,3.4144850257032752e-06,2.2165491450488992e-08
2.0,5.80238828520557e-16,7.835093034829402e-19,3.543010169823837e-06,1.019143314112488e-08
3.0,5.802245742178693e-16,7.920800601241808e-19,3.515774482934072e-06,6.94414249275795e-09
4.0,5.802169987132978e-16,7.963825629448498e-19,3.5952826097736914e-06,5.615081429701716e-09
5.0,5.802121114487457e-16,7.9896942394276e-19,3.3749195653667655e-06,4.602528758076831e-09
6.0,5.802085729479202e-16,8.006961474776784e-19,3.529456155284794e-06,4.233461301018932e-09
7.0,5.802058068696911e-16,8.01930512955405e-19,3.5951242935370075e-06,3.919171852180368e-09
8.0,5.802035243112833e-16,8.028567823661132e-19,3.397278762939447e-06,3.547632662150316e-09
