# time_fs  P_UP  P_LP  P_GS  P_DS
4.500000000000000000e+01 4.450171163894275361e-01 5.546373974325331524e-01 0.000000000000000000e+00 3.454861780337810146e-04
4.750000000000000000e+01 4.392532986100372017e-01 5.578914299250687936e-01 0.000000000000000000e+00 2.855271464889143178e-03
5.000000000000000000e+01 4.321466988235754259e-01 5.588790674451450391e-01 0.000000000000000000e+00 8.974233731275746417e-03
5.250000000000000000e+01 4.226894010509959498e-01 5.609489208006253058e-01 0.000000000000000000e+00 1.636167814837441101e-02
5.500000000000000000e+01 4.110340631763627628e-01 5.686231687304569293e-01 0.000000000000000000e+00 2.034276809317689394e-02
5.750000000000000000e+01 3.987248748961921274e-01 5.827185265013024029e-01 0.000000000000000000e+00 1.855659860250296472e-02
6.000000000000000000e+01 3.876076376866023909e-01 5.986040872136821900e-01 0.000000000000000000e+00 1.378827509971187505e-02
6.250000000000000000e+01 3.788125778574261693e-01 6.096972320886638874e-01 0.000000000000000000e+00 1.149019005391016882e-02
6.500000000000000000e+01 3.726306085551076008e-01 6.131209702925430882e-01 0.000000000000000000e+00 1.424842115234967177e-02
6.750000000000000000e+01 3.686299458807131280e-01 6.123137797334134991e-01 0.000000000000000000e+00 1.905627438587545464e-02
7.000000000000000000e+01 3.655579814444251951e-01 6.140439599230301804e-01 0.000000000000000000e+00 2.039805863254709473e-02
7.250000000000000000e+01 3.616561249590030114e-01 6.225083661617164532e-01 0.000000000000000000e+00 1.583550887928306117e-02
7.500000000000000000e+01 3.557162500658781479e-01 6.360946787930847890e-01 0.000000000000000000e+00 8.189071141039658275e-03
7.750000000000000000e+01 3.478545331339111812e-01 6.498171772282528291e-01 0.000000000000000000e+00 2.328289637836974957e-03
8.000000000000000000e+01 3.390475950519448167e-01 6.605705196932842860e-01 0.000000000000000000e+00 3.818852547730937829e-04
8.250000000000000000e+01 3.301278356691259575e-01 6.693162514424504383e-01 0.000000000000000000e+00 5.559128884248597073e-04
8.500000000000000000e+01 3.214085702667108801e-01 6.781438583236569784e-01 0.000000000000000000e+00 4.475714096331968980e-04
8.750000000000000000e+01 3.127924260336328310e-01 6.867166047883549451e-01 0.000000000000000000e+00 4.909691780133018614e-04
9.000000000000000000e+01 3.037130953380873799e-01 6.931167092281076414e-01 0.000000000000000000e+00 3.170195433806076782e-03
9.250000000000000000e+01 2.932561250745988612e-01 6.976373968517864954e-01 0.000000000000000000e+00 9.106478073617170835e-03
9.500000000000000000e+01 2.809397925302751231e-01 7.039537567718208155e-01 0.000000000000000000e+00 1.510645069790525138e-02
9.750000000000000000e+01 2.674059512861712840e-01 7.157004596675923258e-01 0.000000000000000000e+00 1.689358904623899926e-02
1.000000000000000000e+02 2.540903835636649233e-01 7.322163739372858915e-01 0.000000000000000000e+00 1.369324249905070484e-02
