# time_fs  P_exc  P_photon
3.450000000000000000e+02 1.617032515450368135e-01 8.382967484549690429e-01
3.475000000000000000e+02 4.290335763802115010e-01 5.709664236197951048e-01
3.500000000000000000e+02 7.449355125748591266e-01 2.550644874251477567e-01
3.525000000000000000e+02 9.346425653830112701e-01 6.535743461699686230e-02
3.550000000000000000e+02 8.888887422841195152e-01 1.111112577158885062e-01
3.575000000000000000e+02 6.279353104388223361e-01 3.720646895611846028e-01
3.600000000000000000e+02 2.931617533376270623e-01 7.068382466623794880e-01
3.625000000000000000e+02 6.917890907061088890e-02 9.308210909293969104e-01
3.650000000000000000e+02 8.077150288935772138e-02 9.192284971106516878e-01
3.675000000000000000e+02 3.235613202651378972e-01 6.764386797348704849e-01
3.700000000000000000e+02 6.667731427871352867e-01 3.332268572128728734e-01
3.725000000000000000e+02 9.249330757678425607e-01 7.506692423216546062e-02
3.750000000000000000e+02 9.580125058945316852e-01 4.198749410547582966e-02
3.775000000000000000e+02 7.463360981147575401e-01 2.536639018852499539e-01
3.800000000000000000e+02 4.016463963618141508e-01 5.983536036381921219e-01
3.825000000000000000e+02 1.088426033857772257e-01 8.911573966142283254e-01
3.850000000000000000e+02 2.782412215310475778e-02 9.721758778468996276e-01
3.875000000000000000e+02 2.061291344511891888e-01 7.938708655488145860e-01
3.900000000000000000e+02 5.499100740425985068e-01 4.500899259574052125e-01
3.925000000000000000e+02 8.719901575891070289e-01 1.280098424108958022e-01
3.950000000000000000e+02 9.937886500212317342e-01 6.211349978772457738e-03
3.975000000000000000e+02 8.455477543643631355e-01 1.544522456356413609e-01
4.000000000000000000e+02 5.072064341212751959e-01 4.927935658787283013e-01
4.025000000000000000e+02 1.648385917318845040e-01 8.351614082681199092e-01
4.050000000000000000e+02 6.829536560815399962e-03 9.931704634391880226e-01
4.075000000000000000e+02 1.193285369628602766e-01 8.806714630371417218e-01
4.100000000000000000e+02 4.399727252906735497e-01 5.600272747093287817e-01
4.125000000000000000e+02 7.940426947150128756e-01 2.059573052849887898e-01
4.150000000000000000e+02 9.905890202872780215e-01 9.410979712723463453e-03
4.175000000000000000e+02 9.249122689255510066e-01 7.508773107445082529e-02
4.200000000000000000e+02 6.332916558743925117e-01 3.667083441256108189e-01
4.225000000000000000e+02 2.728124261477202772e-01 7.271875738522827204e-01
