# time_fs  Nvib_ground  Evib_ground_eV  Nvib_excited  Evib_excited_eV
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.963593317264800066e-04 3.907550701356952337e-05
5.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.638189262224258352e-03 5.249996631826274723e-04
7.500000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.971834101206229761e-03 1.984394986140040288e-03
1.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.089124200641361007e-02 4.157357159276308702e-03
1.250000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.000370136720805631e-02 5.970736572074403399e-03
1.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.273493116638143130e-02 6.514251302109905217e-03
1.750000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.972935385770779371e-02 5.916141417683851676e-03
2.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.621390123289453825e-02 5.216566345346013676e-03
2.250000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.725369877161594456e-02 5.423486055551573690e-03
2.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.350079223783253290e-02 6.666657655328674451e-03
2.750000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.117042470701100243e-02 8.192914516695189164e-03
3.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.597850090567438125e-02 9.149721680229202375e-03
3.250000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.705257184597844144e-02 9.363461797349712304e-03
3.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.683402491536617362e-02 9.319970958157869356e-03
3.750000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.740609787921791496e-02 9.433813477964366964e-03
4.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.813686692332051070e-02 9.579236517740782192e-03
4.250000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.801484127538541841e-02 9.554953413801699214e-03
4.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.945848107902173912e-02 9.842237734725327661e-03
4.750000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 5.757124684209743992e-02 1.145667812157739190e-02
5.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 7.455887008603755139e-02 1.483721514712147381e-02
5.250000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 9.581886890556343128e-02 1.906795491220712388e-02
5.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.127302860829059034e-01 2.243332693049827561e-02
5.750000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.196099679596285131e-01 2.380238362396607660e-02
6.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.181158836907282988e-01 2.350506085445493512e-02
6.250000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.153847951487099455e-01 2.296157423459328079e-02
6.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.180915087182721063e-01 2.350021023493615094e-02
6.750000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.277779212627830896e-01 2.542780633129383683e-02
7.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.410702193700457130e-01 2.807297365463910094e-02
7.250000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.536605453300718405e-01 3.057844852068429889e-02
7.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.635799937830645367e-01 3.255241876282984753e-02
7.750000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.707525387940320161e-01 3.397975522001236981e-02
8.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.746982622589925982e-01 3.476495418953953059e-02
8.250000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.746863943549823162e-01 3.476259247664148511e-02
8.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.728955344136429984e-01 3.440621134831495925e-02
8.750000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.757674786638035169e-01 3.497772825409690284e-02
9.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.897521900389204652e-01 3.776068581774517929e-02
