# time_fs P_g_n0 P_g_n1 P_g_n2 P_g_n3 P_g_n4 P_e_n0 P_e_n1 P_e_n2 P_e_n3 P_e_n4
2.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.916783941051529050e-01 8.268320805647644961e-03 5.297900867148025016e-05 3.050856187525319433e-07 9.949028178592335136e-10
2.750000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.897633977657370741e-01 1.018099277780208124e-02 5.521680331008299819e-05 3.908202525378330618e-07 1.832893222014498643e-09
3.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.885472493509682712e-01 1.141118332700382862e-02 4.126190588402874342e-05 3.035769105560694374e-07 1.839228760877727473e-09
3.250000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.882544635708683245e-01 1.172801223832480727e-02 1.744237032507846394e-05 8.129938799600419838e-08 5.210889143815020966e-10
3.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.882967589782952755e-01 1.169797727336156432e-02 5.262364602974675655e-06 1.308665637632875445e-09 7.506927933835339211e-11
3.750000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.881565912840162280e-01 1.183533239425844583e-02 8.037072756192719002e-06 3.906581883594902692e-08 1.831442846339965790e-10
4.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.879771068140076329e-01 1.201162528847100897e-02 1.121242028927555571e-05 5.530712064700877571e-08 1.701046555686190150e-10
4.250000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.880078109182532931e-01 1.198072340354885620e-02 1.141028275904791038e-05 5.523195196517914301e-08 1.634808781752298021e-10
4.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.876525185619937641e-01 1.233040451976300314e-02 1.701516685540647745e-05 6.158924688666227255e-08 1.621352398782873398e-10
4.750000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.856455993339388044e-01 1.431617208809348937e-02 3.804660835571193798e-05 1.814727101523214916e-07 4.968972488964226340e-10
5.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.814434981380908418e-01 1.847385368853361048e-02 8.208356767223356771e-05 5.617251650057539729e-07 2.880534074525082353e-09
5.250000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.761810846202410019e-01 2.368412429610709108e-02 1.337858472992924758e-04 9.997097100899451614e-07 5.526638723553761409e-09
5.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.719759955663732631e-01 2.786644874030358085e-02 1.565486434196336593e-04 1.002706019044610123e-06 4.343881623822932532e-09
5.750000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.702350872393070702e-01 2.962798673108798381e-02 1.362748621118193009e-04 6.491353678320252474e-07 2.032123002353367652e-09
6.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.705694691776689531e-01 2.933249143474870799e-02 9.763991427923267644e-05 3.982338273908343414e-07 1.239473179347972361e-09
6.250000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.712230051592811719e-01 2.870811238179093311e-02 6.856208140292267687e-05 3.192675185248334419e-07 1.110006284030430037e-09
6.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.705334360559365603e-01 2.941056295379069693e-02 5.568971426137294919e-05 3.103067927905473777e-07 9.692190536077496852e-10
6.750000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.681083744405764024e-01 3.183910908212918972e-02 5.217950372092418734e-05 3.356681788129036562e-07 1.305397075708023548e-09
7.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.647793481460159581e-01 3.517404691503601272e-02 4.630843302265152679e-05 2.949622822327892262e-07 1.543645856706690720e-09
7.250000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.616181400498033938e-01 3.834870899857439897e-02 3.302605294595918639e-05 1.243666653321951453e-07 5.320139041630636504e-10
