0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e+01 3.302627151414104354e-05 2.555533849830980191e-06 3.269726867386760704e-08 1.839173058853753907e-10
5.000000000000000000e+01 8.970066749356527468e-05 1.345144428397918141e-06 1.258525707957234374e-08 9.381361662794697950e-11
7.500000000000000000e+01 8.899085556668931321e-05 1.300845638748796247e-06 1.241247374462232368e-08 7.938638104510487422e-11
1.000000000000000000e+02 3.185045017015247239e-05 2.535163746000945587e-06 3.309009642718902122e-08 2.050435625262497966e-10
1.250000000000000000e+02 1.716651845057934107e-08 8.231302017354114166e-12 4.170131212672184851e-12 1.242331594965393609e-12
1.500000000000000000e+02 3.421336930921346547e-05 2.574930183749477640e-06 3.222385135128322447e-08 1.956136735088838952e-10
1.750000000000000000e+02 9.038265949837828803e-05 1.389663162387620064e-06 1.275402680878909662e-08 1.005986673573500571e-10
2.000000000000000000e+02 8.825369174398373247e-05 1.256814268380266402e-06 1.219320621232968284e-08 8.459568312908076535e-11
2.250000000000000000e+02 3.068667693320153425e-05 2.513804917322800782e-06 3.346401457440203148e-08 2.342192518243533163e-10
2.500000000000000000e+02 6.866370853900102326e-08 3.287280071900757957e-11 1.834132432608690817e-11 2.208920207409556727e-12
2.750000000000000000e+02 3.541097736715778871e-05 2.593303527246599664e-06 3.173385047293100924e-08 2.074987367826672076e-10
3.000000000000000000e+02 9.103639615426980278e-05 1.434320444132835960e-06 1.296679539036991752e-08 8.607574915872796893e-11
3.250000000000000000e+02 8.748965733123905699e-05 1.213047380928203901e-06 1.196263356818775363e-08 1.021066793021714809e-10
3.500000000000000000e+02 2.953571771603829803e-05 2.491444237630343541e-06 3.389494399682129921e-08 2.314675066275791887e-10
3.750000000000000000e+02 1.544850531566185926e-07 7.415852964760253499e-11 4.291608595413771538e-11 7.891213765662929048e-13
4.000000000000000000e+02 3.661833313028469057e-05 2.610574995440425445e-06 3.130784412384726941e-08 1.878980997336740351e-10
4.250000000000000000e+02 9.166143228230645614e-05 1.479076272690847546e-06 1.319447023704887028e-08 7.373530855955552898e-11
4.500000000000000000e+02 8.669921863052635301e-05 1.169563596495048691e-06 1.176928914528152825e-08 1.025409641844075127e-10
4.750000000000000000e+02 2.839833086138574865e-05 2.468145015126475205e-06 3.433521351432600353e-08 2.123231405209173009e-10
5.000000000000000000e+02 2.746200637802972565e-07 1.328983685628185898e-10 7.428358370376648789e-11 7.378608596911612534e-13
5.250000000000000000e+02 3.783466194401187589e-05 2.626738125488422387e-06 3.090729019990048350e-08 1.604137356339984832e-10
5.500000000000000000e+02 9.225730760909488812e-05 1.523935280474268998e-06 1.338320980494330629e-08 8.275184851893119415e-11
5.750000000000000000e+02 8.588284045241523863e-05 1.126433608239851641e-06 1.158887858950041096e-08 8.625313430734815810e-11
6.000000000000000000e+02 2.727528159085424703e-05 2.443985569080184668e-06 3.469194187814256980e-08 2.217629409311004852e-10
6.250000000000000000e+02 4.290526360217280630e-07 2.098788773689224962e-10 1.121392452699706947e-10 4.005701333597262260e-12
6.500000000000000000e+02 3.905917202876423982e-05 2.641828453606497652e-06 3.044723243481770874e-08 1.613743668469650741e-10
6.750000000000000000e+02 9.282356234537403133e-05 1.568867388254281614e-06 1.355082287177398179e-08 9.491497335410015510e-11
7.000000000000000000e+02 8.504100920713758983e-05 1.083716616531411979e-06 1.136634206446285234e-08 8.292996734103863582e-11
7.250000000000000000e+02 2.616734875094379903e-05 2.418971881978994760e-06 3.498581935594736332e-08 2.548411239391477587e-10
7.500000000000000000e+02 6.177600978207254029e-07 3.055336262421577866e-10 1.617147335420496088e-10 5.643669123618733810e-12
7.750000000000000000e+02 4.029106642143218798e-05 2.655819844058797253e-06 2.994788874527380563e-08 1.773014909167849702e-10
8.000000000000000000e+02 9.335975347923505807e-05 1.613786809624519105e-06 1.375829796950498968e-08 8.693703393412736152e-11
8.250000000000000000e+02 8.417423295250670153e-05 1.041418341640912384e-06 1.111085387582140725e-08 9.918091956618135518e-11
8.500000000000000000e+02 2.507531515740076274e-05 2.393078683815493542e-06 3.531160263288323633e-08 2.640792738507380649e-10
8.750000000000000000e+02 8.407139570148644451e-07 4.207793025090785798e-10 2.232389777124804598e-10 3.275705691459735724e-12
9.000000000000000000e+02 4.152954681755590446e-05 2.668630249403281377e-06 2.950140208977616482e-08 1.700151260993572020e-10
9.250000000000000000e+02 9.386544306249460770e-05 1.658629515773548297e-06 1.400520879029556079e-08 7.074967629494539511e-11
9.500000000000000000e+02 8.328302160381413763e-05 9.995426119899238163e-07 1.087738562981581209e-08 1.067004177181628402e-10
9.750000000000000000e+02 2.399996228171823190e-05 2.366345731089389593e-06 3.566797285173565086e-08 2.428990468177833121e-10
1.000000000000000000e+03 1.097879264950274046e-06 5.575660453189030755e-10 2.887502019677507207e-10 3.020521699809752407e-12
1.025000000000000000e+03 4.277379899287991991e-05 2.680226564910624782e-06 2.911479093507360031e-08 1.427278445596581536e-10
1.050000000000000000e+03 9.434017746036382193e-05 1.703391463890852630e-06 1.423179107229552519e-08 7.221193856602439944e-11
1.075000000000000000e+03 8.236788617692588689e-05 9.581431227245773127e-07 1.066906732472638667e-08 9.228082876641882307e-11
1.100000000000000000e+03 2.294208018860231479e-05 2.338860953838862768e-06 3.595509088676319532e-08 2.382551087998740427e-10
1.125000000000000000e+03 1.389211273742953240e-06 7.178532719484894308e-10 3.558458458633775870e-10 8.237536244250128533e-12
1.150000000000000000e+03 4.402298113929898954e-05 2.690645051982253886e-06 2.870261744281700541e-08 1.328733473322011387e-10
1.175000000000000000e+03 9.478349581284651226e-05 1.748058620306297564e-06 1.442518371940684248e-08 8.641625555160633530e-11
1.200000000000000000e+03 8.142936112701557537e-05 9.172852852372521015e-07 1.043191566429416815e-08 8.119296051154698181e-11
1.225000000000000000e+03 2.190247690181315322e-05 2.310661590257631387e-06 3.614568605992264179e-08 2.681593358020412159e-10
1.250000000000000000e+03 1.714653567666450274e-06 9.026891945261413598e-10 4.333553877111116077e-10 1.181208426285185542e-11
1.275000000000000000e+03 4.527623479025086540e-05 2.699890677819826393e-06 2.823924681534558493e-08 1.471620923604739677e-10
1.300000000000000000e+03 9.519495208597669137e-05 1.792551405317430899e-06 1.464460895434808154e-08 8.681839250576086366e-11
1.325000000000000000e+03 8.046801383858602800e-05 8.769883051156124392e-07 1.014925974901271991e-08 9.238874180253116724e-11
1.350000000000000000e+03 2.088197293930109429e-05 2.281726138041747558e-06 3.632981173046760597e-08 2.889692890689416088e-10
1.375000000000000000e+03 2.074138278068153029e-06 1.113283861393903491e-09 5.249420317952204619e-10 8.834813146652353003e-12
1.400000000000000000e+03 4.653269351790224607e-05 2.707892442615990153e-06 2.780483714679907907e-08 1.515462359894237022e-10
1.425000000000000000e+03 9.557411188071328833e-05 1.836783370890746156e-06 1.492036137211912967e-08 7.117481952505743813e-11
1.450000000000000000e+03 7.948442760545458487e-05 8.372491412657608922e-07 9.869234803164754278e-09 1.049806406881357425e-10
1.475000000000000000e+03 1.988139240550586016e-05 2.252070028377525673e-06 3.655362412634153210e-08 2.718179910091722779e-10
1.500000000000000000e+03 2.467586382425281519e-06 1.352476964053731530e-09 6.195672122005862633e-10 6.989865372297101458e-12
1.525000000000000000e+03 4.779147136017130991e-05 2.714592896639135785e-06 2.744784958993080688e-08 1.305763999641757827e-10
1.550000000000000000e+03 9.592053073887980928e-05 1.880732207717230964e-06 1.520219946196516520e-08 6.491303821172713464e-11
1.575000000000000000e+03 7.847919308662332856e-05 7.981034203618009629e-07 9.619023242055648150e-09 9.540582234895818907e-11
1.600000000000000000e+03 1.890156831002000949e-05 2.221777248592813905e-06 3.673477342911127331e-08 2.541454595983709699e-10
1.625000000000000000e+03 2.894902783027809838e-06 1.623766952419171104e-09 7.095267046575304072e-10 1.312312540075149542e-11
1.650000000000000000e+03 4.905164805074654455e-05 2.720015185361934773e-06 2.710442030505161088e-08 1.127716150610227395e-10
1.675000000000000000e+03 9.623375378035051381e-05 1.924395166389528206e-06 1.544820248659416220e-08 7.722661659029328716e-11
1.700000000000000000e+03 7.745292710420300850e-05 7.596154586732341313e-07 9.357893256885128855e-09 7.908680556035355577e-11
1.725000000000000000e+03 1.794335316032672468e-05 2.190913720792018015e-06 3.680360250987204713e-08 2.741130807336171455e-10
1.750000000000000000e+03 3.355972218706214513e-06 1.929293913405463197e-09 8.049470291606850625e-10 1.948495544622625948e-11
1.775000000000000000e+03 5.031227414947363918e-05 2.724189488572688385e-06 2.671249861390050685e-08 1.207320584445622152e-10
1.800000000000000000e+03 9.651333895224366213e-05 1.967706782668600860e-06 1.570023292316691500e-08 8.571190331434785225e-11
1.825000000000000000e+03 7.640628893480850615e-05 7.218180471821358506e-07 9.049814273049071278e-09 8.277129843440411099e-11
1.850000000000000000e+03 1.700761634767292672e-05 2.159475176388828763e-06 3.682280489106191372e-08 3.027807589978373805e-10
1.875000000000000000e+03 3.850659586636106469e-06 2.270437381989014700e-09 9.155807318803856404e-10 1.697917240828167374e-11
1.900000000000000000e+03 5.157238426117822909e-05 2.727067961431177717e-06 2.632065351080118709e-08 1.332833041214518000e-10
1.925000000000000000e+03 9.675886441050404285e-05 2.010565426055453567e-06 1.601345010422551194e-08 7.505935294323070297e-11
1.950000000000000000e+03 7.533996939132847170e-05 6.847093080010367411e-07 8.726017160713391360e-09 9.717573629368557944e-11
