0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e+01 5.208986543448184838e-07 1.154099119331552177e-10 5.207832444328851316e-07
5.000000000000000000e+01 2.724960083888817294e-07 2.133308612577191844e-10 2.722826775276240457e-07
7.500000000000000000e+01 2.641541633535672817e-07 7.491319961427445074e-10 2.634050313574245327e-07
1.000000000000000000e+02 5.178819514770760732e-07 9.767627216829855666e-10 5.169051887553930374e-07
1.250000000000000000e+02 1.759827407911688610e-09 1.755794896135534708e-09 4.032511776153956905e-12
1.500000000000000000e+02 5.272329857566224691e-07 2.777592996921509465e-09 5.244553927597009778e-07
1.750000000000000000e+02 2.843859526724424111e-07 3.188084107078067952e-09 2.811978685653643684e-07
2.000000000000000000e+02 2.593693839255195604e-07 4.795639341581660892e-09 2.545737445839378549e-07
2.250000000000000000e+02 5.181899144951509126e-07 5.361917359399691304e-09 5.128279971357512246e-07
2.500000000000000000e+02 7.038299900907829433e-09 7.023165543070539350e-09 1.513435783729084539e-11
2.750000000000000000e+02 5.368808534037002416e-07 8.963016113837941617e-09 5.279178372898622652e-07
3.000000000000000000e+02 2.998186078599419114e-07 9.673241859027243870e-09 2.901453660009146493e-07
3.250000000000000000e+02 2.581508500780045133e-07 1.235301027476461026e-08 2.457978398032399013e-07
3.500000000000000000e+02 5.218265173467520742e-07 1.327111594569104571e-08 5.085554014010610897e-07
3.750000000000000000e+02 1.583433528294916462e-08 1.580208122962006807e-08 3.225405332909670062e-11
4.000000000000000000e+02 5.498394147093133812e-07 1.867136997835233700e-08 5.311680447309611733e-07
4.250000000000000000e+02 3.187883414288744617e-07 1.966867741233116061e-08 2.991196640165433937e-07
4.500000000000000000e+02 2.605042091695167087e-07 2.342141876277241186e-08 2.370827904067442803e-07
4.750000000000000000e+02 5.287948763421619946e-07 2.470458025833674764e-08 5.040902960838252635e-07
5.000000000000000000e+02 2.814884452663762235e-08 2.809248883294659519e-08 5.635569369102879194e-11
5.250000000000000000e+02 5.661058021459137569e-07 3.190231821599602753e-08 5.342034839299177029e-07
5.500000000000000000e+02 3.412859875712042999e-07 3.317426938580562666e-08 3.081117181853987395e-07
5.750000000000000000e+02 2.664342379506573713e-07 3.800103895356366840e-08 2.284331989970937492e-07
6.000000000000000000e+02 5.391006417875651454e-07 3.966250000953589887e-08 4.994381417780292069e-07
6.250000000000000000e+02 4.398293707853857630e-08 4.389430005794901017e-08 8.863702058957220843e-11
6.500000000000000000e+02 5.856745974955514665e-07 4.865548661592928260e-08 5.370191108796221971e-07
6.750000000000000000e+02 3.673016604883076648e-07 5.018988476847917543e-08 3.171117757198284430e-07
7.000000000000000000e+02 2.759486625861105852e-07 5.609201991499196866e-08 2.198566426711186099e-07
7.250000000000000000e+02 5.527504042957703588e-07 5.814500426227294929e-08 4.946054000334975021e-07
7.500000000000000000e+02 6.333568162082034438e-08 6.320736829877586673e-08 1.283133220444885254e-10
7.750000000000000000e+02 6.085401664879722812e-07 6.893043296842277539e-08 5.396097335195493999e-07
8.000000000000000000e+02 3.968284912104619249e-07 7.071534392772705810e-08 3.261131472827348139e-07
