intensity_meV,P_g_n0_avg,P_g_n1_avg,P_g_n2_avg,P_g_n3_avg,P_e_n0_avg,P_e_n1_avg,P_e_n2_avg,P_e_n3_avg
0.16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.195,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.205,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
