intensity_meV,Evib_ground_avg_eV,Evib_excited_avg_eV,Evib_total_avg_eV,Ekin_ground_avg,Ekin_excited_avg,Ekin_total_avg
0.16,0.0,0.0,0.0,3.2,0.0,3.2
0.18,0.0,0.0,0.0,4.049999999999999,0.0,4.049999999999999
0.19,0.0,0.0,0.0,4.512500000000001,0.0,4.512500000000001
0.195,0.0,0.0,0.0,4.753124999999999,0.0,4.753124999999999
0.2,0.0,0.0,0.0,5.0,0.0,5.0
0.205,0.0,0.0,0.0,5.253124999999999,0.0,5.253124999999999
0.21,0.0,0.0,0.0,5.512500000000001,0.0,5.512500000000001
0.22,0.0,0.0,0.0,6.049999999999999,0.0,6.049999999999999
0.24,0.0,0.0,0.0,7.200000000000001,0.0,7.200000000000001
