intensity,P_g_n2_avg
0.15,1.655014460189692e-20
0.16,2.1237059871963466e-20
0.17,2.6812863700794317e-20
0.18,3.3367702743682614e-20
0.19,4.099166641795136e-20
0.2,4.9774001936440735e-20
0.21,5.9802333142207e-20
0.22,7.116188929161058e-20
0.23,8.393474980221171e-20
0.24,9.819911079894493e-20
0.25,1.1402857906265935e-19
0.26,1.3149149870953918e-19
0.27,1.5065031560933162e-19
0.28,1.7156098419859926e-19
0.29,1.9427242094288306e-19
0.3,2.1882600828921e-19
0.31,2.44265011880778e-19
0.32,2.724791887851406e-19
0.33,3.026022839971039e-19
0.34,3.3464163549287442e-19
0.35,3.6859546179250865e-19
0.36,4.044527236969602e-19
0.37,4.42193049595657e-19
0.38,4.817822765163568e-19
0.39,5.231899108714939e-19
0.4,5.663636842515178e-19
0.41,6.112464057065685e-19
0.42,6.577721106276819e-19
0.43,7.058663480928519e-19
0.44,7.55446521139483e-19
0.45,8.064222768316828e-19
