intensity_meV,P_g_n1_avg,P_g_n2_avg,P_e_n1_avg,P_e_n2_avg
1.0,8.882049391381476e-15,2.5318318007568238e-17,9.275531701272082e-07,1.9665817527661004e-09
2.0,1.4211147064561097e-13,4.0509071135885685e-16,3.7101619240462654e-06,7.866220283330664e-09
3.0,7.194281859974392e-13,2.05075167247166e-15,8.34767399532089e-06,1.769859541492765e-08
4.0,2.2736990765547027e-12,6.481299271035888e-15,1.4839835616397501e-05,3.146317354106361e-08
5.0,5.55086850094273e-12,1.582320603075556e-14,2.3186291533359727e-05,4.915920765771122e-08
6.0,1.1509889026576785e-11,3.2810294163024624e-14,3.338658502659329e-05,7.078573740833756e-08
7.0,2.132263237861426e-11,6.078357516397602e-14,4.544015793734173e-05,9.634158914182007e-08
8.0,3.637378061342209e-11,1.0369105378384295e-13,5.934635070016992e-05,1.258253759832557e-07
