intensity_meV,Evib_ground_avg_eV,Evib_excited_avg_eV,Evib_total_avg_eV
1.0,7.14614882191729e-15,7.451890669061925e-07,7.451890740523414e-07
2.0,1.143373216546629e-13,2.9807154916903412e-06,2.9807156060276626e-06
3.0,5.788237514739061e-13,6.706456948920597e-06,6.706457527744347e-06
4.0,1.8293293400774195e-12,1.19222095707837e-05,1.1922211400113042e-05
5.0,4.466011930403393e-12,1.862768795894012e-05,1.8627692424952048e-05
6.0,9.26040769192227e-12,2.6822525201127968e-05,2.6822534461535662e-05
7.0,1.715535962315377e-11,3.6506272892500304e-05,3.650629004785992e-05
8.0,2.9264930176791813e-11,4.767840116170915e-05,4.767843042663932e-05
